N, Time, Prime
1000, 0.000028, 7919
2000, 0.000060, 17389
3000, 0.000086, 27449
4000, 0.000128, 37813
5000, 0.000166, 48611
6000, 0.000214, 59359
7000, 0.000223, 70657
8000, 0.000260, 81799
9000, 0.000288, 93179
10000, 0.000322, 104729
11000, 0.000382, 116447
12000, 0.000413, 128189
13000, 0.000439, 139901
14000, 0.000474, 151703
15000, 0.000509, 163841
16000, 0.000550, 176081
17000, 0.000609, 187963
18000, 0.000627, 200183
19000, 0.000671, 212369
20000, 0.000695, 224737
21000, 0.000756, 237203
22000, 0.000805, 249439
23000, 0.000811, 262139
24000, 0.000874, 274529
25000, 0.000902, 287117
26000, 0.000939, 300023
27000, 0.000997, 312583
28000, 0.001043, 324949
29000, 0.001106, 337541
30000, 0.001129, 350377
31000, 0.001135, 363269
32000, 0.001205, 376127
33000, 0.001240, 389171
34000, 0.001286, 401987
35000, 0.001294, 414977
36000, 0.001364, 427991
37000, 0.001369, 440723
38000, 0.001408, 453889
39000, 0.001489, 467213
40000, 0.001572, 479909
41000, 0.001575, 493127
42000, 0.001589, 506131
43000, 0.001695, 519227
44000, 0.001626, 532333
45000, 0.001656, 545747
46000, 0.001727, 559081
47000, 0.001788, 572311
48000, 0.001842, 585493
49000, 0.001893, 598687
50000, 0.001964, 611953
51000, 0.001908, 625187
52000, 0.002030, 638977
53000, 0.002014, 652429
54000, 0.002076, 665659
55000, 0.002172, 679277
56000, 0.002169, 692543
57000, 0.002228, 706019
58000, 0.002219, 719639
59000, 0.002338, 732923
60000, 0.002317, 746773
61000, 0.002343, 760267
62000, 0.002461, 773603
63000, 0.002467, 787207
64000, 0.002547, 800573
65000, 0.002533, 814279
66000, 0.002615, 827719
67000, 0.002585, 841459
68000, 0.005636, 855359
69000, 0.002760, 868771
70000, 0.002832, 882377
71000, 0.002962, 896009
72000, 0.002835, 909683
73000, 0.002969, 923591
74000, 0.002905, 937379
75000, 0.003020, 951161
76000, 0.003045, 965113
77000, 0.003132, 978947
78000, 0.003080, 993107
79000, 0.003221, 1006721
80000, 0.003207, 1020379
81000, 0.003255, 1034221
82000, 0.003391, 1048129
83000, 0.003323, 1062511
84000, 0.003547, 1076143
85000, 0.003474, 1090373
86000, 0.003561, 1103923
87000, 0.003616, 1117579
88000, 0.003610, 1131617
89000, 0.003817, 1145689
90000, 0.003989, 1159523
91000, 0.003824, 1173301
92000, 0.003694, 1187003
93000, 0.003736, 1200949
94000, 0.003977, 1215133
95000, 0.003898, 1229269
96000, 0.004111, 1243709
97000, 0.003987, 1257517
98000, 0.004149, 1271293
99000, 0.004118, 1285517
100000, 0.004204, 1299709
101000, 0.004244, 1313839
102000, 0.004142, 1327901
103000, 0.004218, 1342051
104000, 0.004333, 1356227
105000, 0.004278, 1370459
106000, 0.004393, 1384631
107000, 0.004350, 1398367
108000, 0.004464, 1412641
109000, 0.004886, 1427039
110000, 0.005026, 1441049
111000, 0.004651, 1455089
112000, 0.004742, 1469393
113000, 0.004708, 1483451
114000, 0.005206, 1497541
115000, 0.005055, 1511539
116000, 0.005148, 1525921
117000, 0.005291, 1540499
118000, 0.004979, 1554881
119000, 0.005303, 1569173
120000, 0.005366, 1583539
121000, 0.005107, 1598011
122000, 0.004994, 1612133
